Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	LFW Loss.	LFW Acc.	
0.100000	0.059585	0.052545	88.905511	89.790985	0.940399	72.387202	
0.099726	0.034813	0.052523	90.573739	89.783435	0.941819	72.784943	
0.098907	0.031222	0.046554	90.944692	90.091609	1.063408	72.741764	
0.097553	0.029058	0.041915	91.195890	90.656617	1.000965	72.754698	
0.095677	0.027225	0.047035	91.409489	90.456033	1.019568	73.474473	
0.093301	0.025962	0.042715	91.557904	90.766724	1.039954	72.818040	
0.090451	0.024729	0.043607	91.726024	90.732748	1.078281	73.434528	
0.087157	0.023550	0.051084	91.888001	90.306161	1.027052	73.755611	
0.083457	0.022514	0.044625	92.041316	90.667816	1.133325	73.273225	
0.079389	0.021307	0.049166	92.227054	90.330322	1.131868	73.029179	
0.075000	0.020366	0.045560	92.375991	90.664922	1.096451	73.234041	
0.070337	0.019347	0.053194	92.538060	90.212790	1.076893	73.708248	
0.065451	0.018314	0.046393	92.716302	90.682413	1.123047	73.470669	
0.060396	0.017442	0.051429	92.866821	90.440806	1.130052	73.674960	
0.055226	0.016331	0.051947	93.075951	90.328182	1.213503	73.512516	
0.050000	0.015338	0.056034	93.283191	90.203981	1.062877	73.979495	
0.044774	0.014414	0.051314	93.471340	90.456284	1.166325	73.501674	
0.039604	0.013612	0.062251	93.649889	89.844843	1.223932	73.523168	
0.034549	0.012669	0.060269	93.856623	90.033221	1.206638	73.409039	
0.029663	0.011935	0.060788	94.030150	90.037499	1.163206	73.678955	
0.025000	0.011280	0.056031	94.188425	90.219837	1.212483	73.345507	
0.020611	0.010487	0.058623	94.385790	90.176675	1.187373	73.507571	
0.016543	0.009926	0.059613	94.544664	90.122313	1.202288	73.374990	
0.012843	0.009522	0.059047	94.671070	90.202597	1.181896	73.517652	
0.009549	0.009078	0.057464	94.784619	90.294206	1.191820	73.402001	
0.006699	0.008792	0.057458	94.875453	90.348442	1.189032	73.504337	
0.004323	0.008580	0.057620	94.935108	90.387829	1.180107	73.592597	
0.002447	0.008415	0.057622	94.985347	90.397015	1.168580	73.577950	
0.001093	0.008364	0.057614	94.991783	90.390849	1.185017	73.581755	
0.000274	0.008323	0.057196	95.008847	90.408718	1.177697	73.536103	
